Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2023-07-24,,Ukraine,UKR,Kherson Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Firearms,Pre-School,1,0,1,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40833,2023-10-06,2025-01-10
2023-07-22,,Sudan,SDN,South Darfur,,,censored,Unspecified Location,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,40652,2023-09-29,2026-02-04
2023-07-20,,Myanmar,MMR,Tanintharyi Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,Secondary School,1,0,0,0,1,0,True,0,0,0,6,Missing,0,0,0,0,Missing,1,0,40813,2023-10-05,2025-01-10
2023-07-20,,Ukraine,UKR,Odesa Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Rocket,"Pre-School, School: No Further Details",1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40830,2023-10-06,2024-11-24
2023-07-20,,Colombia,COL,RAP (Especial) Central,,,censored,Education Building ,NSA,Fuerzas Armadas Revolucionarias de Colombia,Firearms,Secondary School,1,0,0,0,1,0,True,0,0,0,0,,2,0,0,2,StillInCaptivity,0,0,40957,2023-10-10,2025-01-10
2023-07-19,,Nigeria,NGA,Plateau State,,,censored,Other,Criminal,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,40645,2023-09-28,2024-11-24
2023-07-17,,Myanmar,MMR,Mandalay,,,censored,Unspecified Location,Police,Myanmar Police Force,Not Applicable: No Direct Violence,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,StillInCaptivity,0,0,0,0,,0,0,40812,2023-10-05,2024-11-24
2023-07-16,,Bangladesh,BGD,Khulna Division,,,censored,Education Building ,Protestors,Local population,No Information on the Weapon Used,Secondary School,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,40662,2023-09-29,2024-11-24
2023-07-16,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Not Applicable: No Direct Violence,School: No Further Details,1,0,1,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40811,2023-10-05,2024-11-24
2023-07-16,,Bangladesh,BGD,Khulna Division,,,censored,Education Building ,Employee,Employee,Fist and Foot,Secondary School,1,0,0,0,0,0,True,0,0,0,0,,4,1,4,0,,0,0,41416,2023-10-27,2024-11-24
2023-07-15,,Sudan,SDN,South Darfur,,,censored,Education Building ,Vigilante,Rapid Support Forces,Firearms,University,0,1,1,0,1,0,True,0,0,0,0,,5,0,0,0,,0,0,39898,2023-08-02,2026-02-04
2023-07-15,,Ukraine,UKR,Zaporizhia Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,39903,2023-08-02,2024-11-24
2023-07-15,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40800,2023-10-04,2025-01-10
2023-07-15,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Other,People's Defence Force (Myanmar),Firearms,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40807,2023-10-05,2025-01-10
2023-07-15,,Myanmar,MMR,Shan State,,,censored,Unspecified Location,Police,Myanmar Police Force,Firearms,Not Applicable,0,0,0,0,0,0,False,0,1,0,3,NoInformation,0,0,0,0,,0,0,40808,2023-10-05,2025-01-10
2023-07-15,,Myanmar,MMR,Tanintharyi Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,Secondary School,1,0,1,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,40809,2023-10-05,2024-11-24
